order_id,order_date,region,product_category,sales_rep,customer_segment,units_sold,unit_price,discount_pct,satisfaction_score,revenue
S-100048,2024-09-28,West ,Electronics,Maria Gomez ,retail ,7.0,$345.02,10%,4.01,2173.63
S-100049,2024-11-07,West ,Home Goods,john lee,Retail,62.0,$236.52,15 %,4.56,12464.6
S-100050,2024-10-30,West ,Industrial,Aisha Karimova,SMB,63.0,$246.72,0%,4.4,15543.36
S-100051,2024-03-18, south,Home Goods,john lee,Enterprise,46.0,$202.55,15 %,3.96,7919.71
S-100052,2024-05-25,Central,Office Supplies,john lee,Government,99.0,$279.34,10%,4.56,24889.19
S-100053,2024-07-05,West ,Office Supplies,Aisha Karimova,SMB,47.0,$354.69,0%,4.18,16670.43
S-100054,2024-07-18,North,Office Supplies,Aisha Karimova,Retail,7.0,$295.07,5%,,1962.22
S-100055,2024-01-18,North, furniture,Aisha Karimova,Enterprise,66.0,$298.38,10%,3.71,17723.77
S-100056,2024-08-06,West ,Office Supplies,SAM PATEL,,25.0,$291.53,5%,4.33,6923.84
S-100057,2024-03-02,North,Office Supplies,SAM PATEL,retail ,43.0,$45.00 ,0%,4.05,1935.0
S-100058,2024-10-24,EAST,electronics,Lena Park,Retail,60.0,$165.53,5%,3.34,9435.21
S-100059,2024-09-30,,Industrial,Lena Park,retail ,87.0,$222.58,0%,4.57,19364.46
S-100060,2025-01-04,North,,Maria Gomez ,SMB,34.0,$178.30,0%,,6062.2
S-100061,2024-10-24,North,Electronics,Aisha Karimova,retail ,46.0,$149.51,5%,4.98,6533.59
S-100062,2024-05-26,,Office Supplies,Maria Gomez ,SMB,,$80.87,15 %,3.33,
S-100063,2025-01-22,EAST,Electronics,Aisha Karimova,Enterprise,46.0,$125.55,10%,4.0,5197.77
S-100064,2024-06-13,North, furniture,Maria Gomez ,SMB,70.0,$218.20,5%,3.72,14510.3
S-100065,2024-05-10,Central, furniture,Maria Gomez ,SMB,74.0,$234.10,10%,3.56,15591.06
S-100066,2024-12-28,Central,Electronics,Maria Gomez ,Retail,35.0,$172.59,10%,3.83,5436.59
S-100067,2024-05-28,EAST,Home Goods,john lee,SMB ,8.0,$246.71,0%,5.07,1973.68
S-100068,2024-01-31,West ,Office Supplies,SAM PATEL,SMB,69.0,$203.12,5%,4.18,13314.52
S-100069,2024-07-06, south,Industrial,Lena Park,SMB,581.0,$332.70,5%,3.66,183633.76
S-100070,2024-11-14,North,Electronics,Lena Park,Retail,11.0,$226.26,10%,3.09,2239.97
S-100071,2024-03-16,West ,Electronics,SAM PATEL,Enterprise,61.0,$299.19,10%,3.15,16425.53
S-100072,2024-07-04, south,Office Supplies,Maria Gomez ,Government,12.0,$257.27,5%,3.8,2932.88
S-100073,2024-02-21,West ,Electronics,Aisha Karimova,Retail,54.0,$120.82,10%,3.75,5871.85
S-100074,2024-10-01,Central, furniture,SAM PATEL,Retail,77.0,$232.29,,3.98,17886.33
S-100075,2024-07-09,North,,Maria Gomez ,Retail,86.0,$134.97,5%,2.85,11027.05
S-100076,2024-05-12,West , furniture,john lee,Enterprise,85.0,$230.81,10%,4.05,17656.96
S-100077,2024-03-31, south,Electronics,john lee,SMB ,91.0,$176.66,10%,4.67,14468.45
S-100078,2024-08-13,Central,electronics,Lena Park,SMB,467.0,$272.47,15 %,4.99,108156.97
S-100079,2024-09-24, south,Office Supplies,SAM PATEL,SMB,101.0,$125.90,15 %,,10808.52
S-100080,2024/08/03,West ,electronics,Maria Gomez ,Government,42.0,$241.25,15 %,3.66,8612.62
S-100081,2024-06-23,EAST,Office Supplies,SAM PATEL,Government,45.0,$288.66,5%,3.63,2075912.535800873
S-100082,2024-03-05, south,Industrial,Maria Gomez ,retail ,94.0,$317.15,5%,4.18,28321.5
S-100083,2024-11-29,West ,Electronics,Maria Gomez ,Retail,39.0,$175.05,15 %,,5802.91
S-100084,2024-09-08,West ,Office Supplies,john lee,SMB,9.0,$241.51,5%,5.03,2064.91
S-100085,2024-10-07,EAST,Home Goods,Maria Gomez ,Government,86.0,$255.65,,4.12,21985.9
S-100086,2024-02-08,West ,Industrial,SAM PATEL,Enterprise,79.0,$371.51,5%,4.03,27881.83
S-100087,2024-05-04,,Office Supplies,Aisha Karimova,Enterprise,70.0,$114.09,10%,4.98,7187.67
S-100088,2024-11-03,EAST,electronics,Lena Park,Government,18.0,$162.56,10%,4.09,2633.47
S-100089,2024/08/03,EAST,Electronics,john lee,retail ,76.0,$478.38,5%,4.32,34539.04
S-100090,2024-06-23,North,Electronics,SAM PATEL,SMB,24.0,$216.79,20%,3.69,4162.37
S-100091,2024/08/03,Central,Electronics,SAM PATEL,Retail,67.0,$79.27,0%,3.35,5311.09
S-100092,2024-12-02,EAST,Home Goods,SAM PATEL,Government,61.0,$190.48,10%,3.76,10457.35
S-100093,2024-06-03, south, furniture,SAM PATEL,Enterprise,92.0,$4.65,10%,5.3,385.02
S-100094,2024-12-25,North,Home Goods,Lena Park,retail ,117.0,$260.48,20%,4.45,24380.93
S-100095,2024-04-25,Central,Electronics,Maria Gomez ,Retail,23.0,$308.83,10%,4.25,6392.78
S-100096,2024-04-05, south,Industrial,SAM PATEL,Government,14.0,$162.51,,3.56,2275.14
S-100097,2024-09-29,West ,Industrial,SAM PATEL,Government,67.0,$199.99,20%,4.6,10719.46
S-100098,,North,Electronics,john lee,Enterprise,114.0,$318.51,5%,3.35,34494.63
S-100099,2024-02-25,,Electronics,john lee,Retail,19.0,$91.23,20%,3.24,1386.7
S-100100,2024-11-29,North,Electronics,Maria Gomez ,SMB ,58.0,$127.67,,3.79,7404.86
S-100101,2024-03-20,North,Industrial,john lee,Government,49.0,$220.61,5%,5.17,10269.4
S-100102,2024-11-17,Central, furniture,john lee,Enterprise,38.0,$176.05,10%,5.14,6020.91
S-100103,03/15/2024,Central,electronics,Maria Gomez ,Enterprise,80.0,$215.02,5%,3.85,16341.52
S-100104,2024-11-14,North,Office Supplies,SAM PATEL,SMB ,36.0,$132.58,10%,3.73,4295.59
S-100105,2024-11-10,EAST,Home Goods,john lee,SMB ,59.0,$258.22,0%,3.2,15234.98
S-100106,2024-11-08,West ,Office Supplies,Lena Park,Enterprise,101.0,$227.32,15 %,4.14,19515.42
S-100107,2024-09-22,Central,Office Supplies,Maria Gomez ,SMB,46.0,$286.68,5%,4.19,3234051.0439020004
S-100108,2024-07-07, south,,SAM PATEL,SMB,,$257.03,10%,4.53,0.0
S-100109,2024-10-09,EAST,Electronics,Aisha Karimova,Government,106.0,$257.57,0%,4.6,27302.42
S-100110,2024-04-20,West ,Industrial,Maria Gomez ,Enterprise,33.0,$117.06,15 %,3.99,3283.53
S-100111,2024-11-08,West ,Electronics,Aisha Karimova,Retail,92.0,$281.87,10%,4.41,23338.84
S-100112,2024-08-10,Central,Office Supplies,SAM PATEL,Retail,91.0,$211.88,10%,3.71,17352.97
S-100113,2024-07-02,EAST,Industrial,john lee,SMB ,63.0,$225.84,5%,4.4,13516.52
S-100114,2024-07-21,North,Home Goods,Lena Park,Government,11.0,$329.10,0%,3.82,3620.1
S-100115,2024-08-15,Central,Home Goods,john lee,SMB ,114.0,$178.85,5%,4.35,19369.45
S-100116,2024-01-15,Central, furniture,Maria Gomez ,SMB,82.0,$354.85,20%,4.31,23278.16
S-100117,2024-02-25,Central,Office Supplies,john lee,Government,51.0,$362.78,5%,4.14,17576.69
S-100118,2024-04-08,North,Office Supplies,SAM PATEL,Government,102.0,$303.99,10%,4.54,27906.28
S-100119,2024-02-15,North,Office Supplies,Maria Gomez ,retail ,94.0,$156.65,0%,3.24,14725.1
S-100120,2024-06-24,West ,Office Supplies,john lee,Retail,91.0,$54.17,15 %,3.51,4190.05
S-100121,2024-09-24,North, furniture,john lee,,20.0,$331.70,5%,3.95,6302.3
S-100122,2024-09-18,, furniture,Aisha Karimova,Retail,76.0,$249.47,10%,3.31,17063.75
S-100123,2024-07-07, south, furniture,Aisha Karimova,Enterprise,35.0,$176.66,5%,,5873.94
S-100124,2024-12-08,West ,Office Supplies,,Enterprise,,$339.75,0%,3.89,0.0
S-100125,2024-08-14,Central,Electronics,Maria Gomez ,Enterprise,41.0,$166.77,5%,4.82,6495.69
S-100126,2024-02-01, south,Industrial,Aisha Karimova,retail ,13.0,$203.95,5%,4.18,2518.78
S-100127,2024-11-01, south,electronics,Lena Park,Government,13.0,$284.62,10%,4.67,3330.05
S-100128,2024-08-17,West ,Electronics,Aisha Karimova,Retail,87.0,$145.34,,4.27,12644.58
S-100129,2024-09-10,EAST,Home Goods,Maria Gomez ,Government,60.0,$230.69,10%,3.81,12457.26
S-100130,2024-08-14, south,Industrial,SAM PATEL,Retail,48.0,"1,950",20%,4.17,74880.0
S-100131,2024-08-09,West , furniture,Lena Park,Enterprise,23.0,$257.94,10%,4.5,5339.36
S-100132,2024-02-06,Central,Electronics,SAM PATEL,Government,92.0,$346.03,0%,4.76,31834.76
S-100133,2024-08-11,EAST,Electronics,Maria Gomez ,Retail,76.0,$336.36,5%,4.03,24285.19
S-100134,2024-11-13,North,Electronics,,Retail,70.0,$240.66,5%,3.19,16003.89
S-100135,2024-05-01, south,Home Goods,Aisha Karimova,Government,23.0,$41.38,5%,3.16,904.15
S-100136,2024-08-29, south,,,Retail,15.0,$146.01,20%,3.92,1752.12
S-100137,2024-01-13,North,Electronics,Lena Park,Retail,15.0,$304.88,10%,2.81,4115.88
S-100138,2024-05-18,North,Home Goods,Lena Park,SMB,3.0,"$1,299.99",10%,5.09,3509.97
S-100139,2024-06-23,West ,Electronics,john lee,SMB ,116.0,$212.23,10%,4.43,
S-100140,2025-01-28, south,electronics,Aisha Karimova,Enterprise,44.0,$268.77,5%,3.75,2313988.284795025
S-100141,2024-03-26,Central,Home Goods,SAM PATEL,SMB,79.0,$364.91,10%,3.49,25945.1
S-100142,2024-04-20, south, furniture,Maria Gomez ,,117.0,$191.12,0%,4.67,22361.04
S-100143,2024-06-12,North,Electronics,Maria Gomez ,SMB,112.0,$185.30,0%,3.49,20753.6
S-100144,2025-02-01,West ,electronics,Lena Park,SMB,39.0,$235.54,5%,3.54,8726.76
S-100145,2024-12-07,Central,,SAM PATEL,SMB,59.0,$269.83,0%,3.68,15919.97
S-100146,2024-01-14, south, furniture,john lee,retail ,56.0,$226.89,10%,4.16,11435.26
S-100147,2024-04-03,North,Electronics,Maria Gomez ,SMB,4.0,$329.19,0%,4.44,1316.76
S-100148,2024-11-24,North,Electronics,Aisha Karimova,Enterprise,92.0,$172.07,0%,4.76,15830.44
S-100149,2024-01-24,EAST,electronics,Aisha Karimova,Retail,69.0,$250.21,20%,4.67,13811.59
S-100150,2024-12-08,EAST,electronics,Aisha Karimova,Enterprise,45.0,$277.84,,4.1,12502.8
S-100151,2024-04-22, south,Home Goods,Lena Park,Retail,67.0,,10%,4.66,0.0
S-100152,2025-01-02,North,Home Goods,SAM PATEL,SMB,88.0,$45.00 ,10%,3.73,3564.0
S-100153,2024-04-27,EAST,Industrial,Maria Gomez ,Retail,309.0,$252.66,15 %,3.1,66361.15
S-100154,2024-06-22,Central,Home Goods,john lee,SMB,77.0,$307.05,0%,,23642.85
S-100155,2024-09-21,West , furniture,SAM PATEL,Government,103.0,$256.50,5%,,25098.52
S-100156,2024-02-20,EAST,electronics,Lena Park,SMB,87.0,$271.99,0%,3.75,23663.13
S-100157,2024-08-10,North, furniture,Lena Park,Retail,74.0,$186.25,5%,3.57,13093.38
S-100158,2024-07-21, south, furniture,Maria Gomez ,Retail,11.0,$186.38,,3.85,2050.18
S-100159,2024-11-09, south,Industrial,Lena Park,Government,89.0,$344.07,15 %,4.44,26028.9
S-100160,2025-02-02,Central,Home Goods,Maria Gomez ,retail ,90.0,$294.02,,5.04,26461.8
S-100161,2024-09-22,Central,,Maria Gomez ,Government,59.0,$153.05,15 %,3.15,7675.46
S-100162,2024-06-12,Central,Office Supplies,Lena Park,SMB,70.0,$255.37,10%,3.39,16088.31
S-100163,2024-06-11,,Office Supplies,john lee,Retail,,$38.23,15 %,3.66,0.0
S-100164,2024-06-16,,Office Supplies,Maria Gomez ,Government,15.0,$191.22,10%,4.52,2581.47
S-100165,2024-11-21,Central,Electronics,john lee,SMB,,$321.69,10%,3.99,0.0
S-100166,2024-05-08,North, furniture,Maria Gomez ,Retail,95.0,$229.36,5%,3.7,20699.74
S-100167,2024-03-07,North,Office Supplies,Maria Gomez ,SMB ,116.0,$250.02,10%,4.49,26102.09
S-100168,2024-05-13, south,Electronics,SAM PATEL,Retail,33.0,$-16.39,5%,4.63,-513.83
S-100169,2024-01-10,EAST,Industrial,Maria Gomez ,SMB,48.0,$206.66,10%,4.09,
S-100170,2024-02-12,North,Electronics,john lee,SMB,109.0,$268.75,0%,3.65,29293.75
S-100171,2024-02-06,Central,Electronics,Lena Park,SMB,20.0,$279.55,10%,4.25,5031.9
S-100172,2024-11-04,West ,Home Goods,john lee,Government,32.0,$321.80,5%,3.97,9782.72
S-100173,2024-10-15,EAST,Electronics,Lena Park,Retail,7.0,$222.13,5%,3.97,1477.16
S-100174,2024-10-05,North,Industrial,john lee,SMB ,28.0,$225.92,10%,3.82,5693.18
S-100175,2024-07-03, south,Home Goods,Maria Gomez ,Enterprise,76.0,$126.77,0%,4.61,9634.52
S-100176,2024-10-13,North,Electronics,Maria Gomez ,SMB ,42.0,$222.62,,4.24,9350.04
S-100177,2024-03-05,Central,Home Goods,Lena Park,Government,,$132.77,5%,4.67,0.0
S-100178,2024-12-26,EAST,electronics,Aisha Karimova,SMB ,107.0,$82.93,5%,4.83,8429.83
S-100179,2024-07-19,West ,Home Goods,Lena Park,Enterprise,107.0,$147.76,0%,,15810.32
S-100180,2025-01-10, south,Industrial,Maria Gomez ,SMB,87.0,$368.24,20%,3.82,25629.5
S-100181,2024-03-01, south,Home Goods,SAM PATEL,SMB,84.0,$217.00,10%,4.67,16405.2
S-100182,2024-07-17, south,electronics,Maria Gomez ,Enterprise,61.0,$258.69,5%,4.36,14991.09
S-100183,2024-10-05,Central, furniture,Aisha Karimova,SMB,118.0,$196.35,5%,5.53,22010.84
S-100184,2024-07-17,Central,Home Goods,Maria Gomez ,Government,,$87.80,15 %,4.27,0.0
S-100185,2024-06-27,North,Industrial,john lee,Retail,87.0,$319.57,20%,4.48,22242.07
S-100186,2024-03-07,Central,electronics,john lee,Government,17.0,$55.36,5%,4.26,894.06
S-100187,2024-06-01,North,Home Goods,SAM PATEL,Retail,41.0,$192.84,0%,4.05,7906.44
S-100188,2024-04-05,Central,Office Supplies,Maria Gomez ,SMB ,31.0,$235.36,0%,3.96,7296.16
S-100189,2024-04-30,North,Home Goods,Aisha Karimova,Retail,72.0,$259.59,0%,4.26,18690.48
S-100190,2024-09-30, south,,Aisha Karimova,Retail,94.0,$178.25,15 %,4.39,14242.18
S-100191,2024-09-09,Central,Electronics,Aisha Karimova,Government,10.0,$83.77,,4.73,837.7
S-100192,2024-08-30,North, furniture,Aisha Karimova,Government,72.0,$171.91,,4.27,12377.52
S-100193,2024-05-24,EAST,Office Supplies,SAM PATEL,Government,27.0,$176.36,15 %,3.85,4047.46
S-100194,2025-01-18,EAST,Office Supplies,Aisha Karimova,,10.0,$174.29,0%,3.92,1742.9
S-100195,2024-02-05, south,electronics,Lena Park,retail ,50.0,$322.45,,3.37,16122.5
S-100196,2024-05-17,West ,Electronics,john lee,Government,70.0,$136.84,5%,5.01,9099.86
S-100197,2024-02-17,Central,Office Supplies,Aisha Karimova,SMB,25.0,$265.58,5%,3.8,6307.52
S-100198,2024-05-15,Central,electronics,Lena Park,SMB,47.0,$253.46,10%,4.63,10721.36
S-100199,2025-01-19, south,electronics,john lee,SMB,114.0,$321.64,0%,4.25,36666.96
S-100200,2024-05-26,EAST,electronics,Maria Gomez ,Retail,42.0,$228.68,15 %,4.27,8163.88
S-100201,2024-12-29, south,Home Goods,Lena Park,Enterprise,119.0,$307.25,,4.04,36562.75
S-100202,2024-07-17, south,electronics,Lena Park,Government,100.0,$225.36,15 %,3.67,19155.6
S-100203,2024-10-06,North,Home Goods,SAM PATEL,Retail,45.0,$276.92,15 %,3.57,10592.19
S-100204,2024-07-01,Central,electronics,Aisha Karimova,SMB ,69.0,$112.25,5%,5.05,7357.99
S-100205,2024-04-16,Central,Office Supplies,SAM PATEL,SMB,85.0,$15.75,0%,4.16,1338.75
S-100206,2024-11-01,Central,electronics,,Retail,56.0,$272.09,15 %,4.72,12951.48
S-100207,2025-01-22,EAST,Electronics,Lena Park,Enterprise,49.0,$276.65,10%,4.86,12200.26
S-100208,2024-04-15,EAST, furniture,Aisha Karimova,Retail,40.0,$280.42,20%,3.87,8973.44
S-100209,2024-11-07,EAST,Office Supplies,Maria Gomez ,Retail,,$195.38,0%,4.33,0.0
S-100210,2024-04-14,EAST,Industrial,john lee,Enterprise,3.0,$366.63,5%,4.12,1044.9
S-100211,2024-10-13,EAST,Home Goods,Aisha Karimova,Retail,41.0,$200.91,5%,3.46,7825.44
S-100212,2024-11-11,North,Electronics,SAM PATEL,Retail,95.0, 85 ,10%,4.0,7267.5
S-100213,2024-06-28,North,electronics,john lee,Government,28.0,$290.54,15 %,4.42,6914.85
S-100214,2024-10-21,Central, furniture,john lee,Retail,424.0,$386.09,,3.83,163702.16
S-100215,03/15/2024,EAST,Home Goods,Aisha Karimova,Government,40.0,"$1,299.99",5%,3.92,49399.62
S-100216,,Central,Industrial,Maria Gomez ,Government,72.0,$184.48,10%,4.0,11954.3
S-100217,2024-02-08,North,electronics,Aisha Karimova,Retail,26.0,$112.66,0%,5.26,2929.16
S-100218,2024-06-27,EAST,electronics,Maria Gomez ,SMB,27.0,$371.95,5%,3.09,9540.52
S-100219,2024-12-27,North, furniture,Aisha Karimova,Retail,14.0,$275.82,5%,4.38,3668.41
S-100220,03/15/2024, south,Office Supplies,Lena Park,Enterprise,40.0,$278.51,10%,3.96,10026.36
S-100221,2024-07-01,North,Industrial,Aisha Karimova,Retail,26.0,$504.92,10%,3.75,11815.13
S-100222,2024-10-08,North,Home Goods,Maria Gomez ,SMB ,99.0,$267.63,5%,3.95,25170.6
S-100223,2024-03-21,Central,Office Supplies,Aisha Karimova,Retail,108.0,$129.30,10%,,12567.96
S-100224,2024-10-15, south,Office Supplies,Aisha Karimova,Enterprise,45.0,$223.35,15 %,4.5,8543.14
S-100225,2024-05-02,West ,Electronics,john lee,Retail,11.0,$157.14,5%,4.2,1642.11
S-100226,2024-11-19,EAST,Electronics,Aisha Karimova,Retail,,$206.35,5%,4.7,0.0
S-100227,2024-08-19, south,Electronics,Aisha Karimova,SMB,39.0,$205.78,15 %,4.8,6821.61
S-100228,2024-08-06,EAST,Office Supplies,Maria Gomez ,Enterprise,,$190.10,15 %,4.55,0.0
S-100229,2024-03-11,North,Industrial,SAM PATEL,,63.0,$45.00 ,15 %,3.8,2409.75
S-100230,2024-07-04,,Office Supplies,Aisha Karimova,Retail,37.0,$375.36,5%,4.37,13193.9
S-100231,2024-12-08,Central, furniture,Maria Gomez ,Retail,43.0,$265.40,10%,4.37,10270.98
S-100232,2024-01-08,West ,Electronics,SAM PATEL,SMB,34.0,$220.83,20%,3.65,6006.58
S-100233,2024-10-30,EAST, furniture,john lee,SMB,62.0,$304.40,5%,3.24,17929.16
S-100234,2024-07-16,North,Home Goods,john lee,Government,83.0,$280.04,5%,2.99,22081.15
S-100235,2024-10-14,Central,Office Supplies,Aisha Karimova,SMB ,6.0,$263.43,,4.14,1580.58
S-100236,2024-09-22, south,Home Goods,john lee,Government,57.0,$298.22,0%,4.26,16998.54
S-100237,2024-06-21,North,Home Goods,Maria Gomez ,Retail,78.0,$251.38,15 %,3.45,16666.49
S-100238,2024-05-03, south,Electronics,,SMB,81.0,$296.97,20%,4.68,19243.66
S-100239,,Central,electronics,,Government,68.0,$304.01,0%,4.18,20672.68
S-100240,2024-02-26,West ,Industrial,,retail ,63.0,$253.83,15 %,4.84,13592.6
S-100241,2024-08-21,West ,Office Supplies,Maria Gomez ,Enterprise,82.0,$221.27,10%,4.3,16329.73
S-100242,2024-02-07,Central,Electronics,Aisha Karimova,Retail,, 85 ,20%,3.51,0.0
S-100243,2024-09-16,North,Industrial,john lee,SMB,68.0,$199.38,20%,,10846.27
S-100244,2024-09-08,Central,Industrial,john lee,Government,39.0,$273.26,20%,4.47,8525.71
S-100245,2024-02-03,EAST,Office Supplies,Aisha Karimova,retail ,53.0,$275.18,0%,3.8,14584.54
S-100246,2024-10-29,West ,electronics,Aisha Karimova,,15.0,$188.19,15 %,3.31,2399.42
S-100247,2024-06-15,North, furniture,Maria Gomez ,retail ,,$171.34,20%,4.16,0.0
S-100248,2024-11-10,,Home Goods,john lee,Retail,17.0,$209.92,10%,3.55,3211.78
S-100249,2024-01-17, south,Office Supplies,Aisha Karimova,retail ,27.0,$198.16,10%,4.72,4815.29
S-100250,2024-03-12,North,Electronics,SAM PATEL,Retail,50.0,$116.06,0%,3.88,5803.0
S-100251,2024-07-16,EAST,Home Goods,john lee,SMB,60.0,$184.62,20%,5.05,8861.76
S-100252,2024-03-16,North,Industrial,Lena Park,Retail,113.0,$262.63,0%,2.93,29677.19
S-100253,2024-05-11,North,Industrial,john lee,Enterprise,639.0,$347.61,5%,4.17,211016.65
S-100254,2024-09-21,West , furniture,Maria Gomez ,Government,107.0,$287.12,20%,4.89,24577.47
S-100255,2024-02-27, south,Electronics,Aisha Karimova,SMB,40.0,$19.04,20%,,609.28
S-100256,2024-09-28,Central,Industrial,Maria Gomez ,Retail,87.0,$294.51,,,25622.37
S-100257,2024-02-11, south,Industrial,Aisha Karimova,SMB,81.0,$192.56,10%,3.88,14037.62
S-100258,2024-03-11,West ,Office Supplies,Aisha Karimova,Government,116.0,$278.51,0%,3.72,32307.16
S-100259,2024-08-23,EAST,electronics,SAM PATEL,Enterprise,13.0,$238.80,10%,4.23,2793.96
S-100260,2024-11-13,West ,Office Supplies,john lee,Retail,116.0,$223.62,0%,3.39,25939.92
S-100261,2024-03-09,West ,Office Supplies,Aisha Karimova,SMB,8.0,$231.31,20%,4.04,1480.38
S-100262,2024-04-29,EAST,Electronics,Lena Park,SMB,105.0,$238.09,10%,4.38,22499.5
S-100263,2025-01-05,Central,Electronics,Aisha Karimova,SMB,78.0,$354.27,5%,3.98,26251.41
S-100264,2025-01-30, south, furniture,Maria Gomez ,Retail,58.0,$238.33,0%,3.55,
S-100265,2024-08-20,North,Industrial,Maria Gomez ,,48.0,$332.27,5%,4.67,15151.51
S-100266,2024-06-27,West ,Electronics,john lee,Retail,12.0, 85 ,20%,4.5,816.0
S-100267,2024-05-18,Central, furniture,Maria Gomez ,Retail,96.0,$296.70,15 %,3.53,24210.72
S-100268,2024-09-01,North,electronics,Aisha Karimova,Retail,,$88.14,0%,3.39,0.0
S-100269,2024-08-24,EAST, furniture,SAM PATEL,Enterprise,112.0,$334.91,0%,3.58,37509.92
